Customer_ID,FICO_Score,Credit_Bureau_Score,Annual_Salary,Account_Open_Date,ZIP_Code,Business_Type,Asset_Value,Time_on_Books,PD,RWA,FICO_Band,Credit_Bureau_Band,Salary_Band,Counterparty_ID,Product_Type,CCF_Source
1,402,586,49806,2013-11-04,10001,Retail,141870,11.8,0.448,75128.11169937177,<600,<600,$40K–60K,1.0,Securitization,Internal Model
2,735,467,108199,2015-04-28,94105,Healthcare,279745,10.3,0.115,36000.357713939105,700–749,<600,$100K+,2.0,Securitization,Internal Model
2,735,467,108199,2015-04-28,94105,Healthcare,279745,10.3,0.115,36000.357713939105,700–749,<600,$100K+,2.0,Guarantee,Standardized
2,735,467,108199,2015-04-28,94105,Healthcare,279745,10.3,0.115,36000.357713939105,700–749,<600,$100K+,2.0,Guarantee,Standardized
3,570,567,61321,2011-11-10,10001,Retail,821795,13.8,0.28,221007.8613735808,<600,<600,$60K–80K,,,
4,406,754,142041,2019-03-16,94105,Tech,12795,6.4,0.444,5797.5504052371225,<600,750+,$100K+,,,
5,371,700,122031,2016-10-23,60606,Finance,107462,8.8,0.479,39693.039887100495,<600,700–749,$100K+,5.0,Commitment,Internal Model
5,371,700,122031,2016-10-23,60606,Finance,107462,8.8,0.479,39693.039887100495,<600,700–749,$100K+,5.0,Commitment,Standardized
6,320,775,85095,2018-02-28,60606,Finance,448480,7.5,0.53,232574.9979364074,<600,750+,$80K–100K,,,
7,421,429,42656,2010-01-07,94105,Manufacturing,375036,15.6,0.429,140520.06139066909,<600,<600,$40K–60K,,,
8,766,662,75147,2018-12-12,30303,Finance,344977,6.7,0.084,25767.599549541035,750+,650–699,$60K–80K,8.0,Derivative,Standardized
9,514,591,111396,2016-10-04,10001,Finance,532904,8.9,0.336,188843.9938822409,<600,<600,$100K+,9.0,Trade Finance,Standardized
9,514,591,111396,2016-10-04,10001,Finance,532904,8.9,0.336,188843.9938822409,<600,<600,$100K+,9.0,Trade Finance,Standardized
10,630,670,69666,2014-05-11,10001,Finance,275228,11.3,0.22,46572.216923010295,600–649,650–699,$60K–80K,10.0,Commitment,Standardized
11,758,328,102368,2012-04-12,60606,Tech,892297,13.4,0.092,64919.7700850694,750+,<600,$100K+,,,
12,387,448,58787,2018-12-09,94105,Finance,479862,6.7,0.463,256565.6511586955,<600,<600,$40K–60K,12.0,Derivative,Internal Model
12,387,448,58787,2018-12-09,94105,Finance,479862,6.7,0.463,256565.6511586955,<600,<600,$40K–60K,12.0,Securitization,Standardized
13,672,595,133767,2017-02-19,10001,Finance,797163,8.5,0.178,89923.77666301129,650–699,<600,$100K+,,,
14,399,310,82946,2018-10-25,10001,Finance,142201,6.8,0.451,57166.599584263575,<600,<600,$80K–100K,14.0,Derivative,Standardized
15,430,811,41727,2014-12-16,30303,Retail,169094,10.7,0.42,81507.67091313007,<600,750+,$40K–60K,15.0,Derivative,Internal Model
15,430,811,41727,2014-12-16,30303,Retail,169094,10.7,0.42,81507.67091313007,<600,750+,$40K–60K,15.0,Securitization,Standardized
16,608,412,128351,2018-12-18,20002,Tech,273749,6.7,0.242,64009.28019155128,600–649,<600,$100K+,16.0,Guarantee,Standardized
17,643,486,115081,2019-08-17,60606,Manufacturing,87506,6.0,0.207,16806.731261552046,600–649,<600,$100K+,17.0,Securitization,Standardized
18,791,526,142721,2012-07-02,60606,Retail,774601,13.2,0.059,34269.07942052341,750+,<600,$100K+,18.0,Commitment,Standardized
19,713,609,130058,2015-07-05,20002,Healthcare,54130,10.1,0.137,5976.885482735416,700–749,600–649,$100K+,19.0,Guarantee,Internal Model
20,685,397,88056,2013-12-13,10001,Tech,956769,11.7,0.165,175426.268563363,650–699,<600,$80K–100K,20.0,Guarantee,Internal Model
21,491,354,23081,2013-12-21,30303,Tech,173402,11.7,0.359,58238.03025125051,<600,<600,<$40K,21.0,Securitization,Standardized
21,491,354,23081,2013-12-21,30303,Tech,173402,11.7,0.359,58238.03025125051,<600,<600,<$40K,21.0,Derivative,Internal Model
22,576,705,54196,2018-05-13,30303,Healthcare,864901,7.3,0.274,215380.77506732795,<600,700–749,$40K–60K,22.0,Guarantee,Standardized
22,576,705,54196,2018-05-13,30303,Healthcare,864901,7.3,0.274,215380.77506732795,<600,700–749,$40K–60K,22.0,Guarantee,Standardized
23,460,368,56735,2014-02-11,60606,Healthcare,156259,11.5,0.39,40205.69899118402,<600,<600,$40K–60K,23.0,Commitment,Internal Model
24,759,611,124749,2019-09-17,30303,Healthcare,429007,5.9,0.091,23799.222245872326,750+,600–649,$100K+,,,
25,613,588,100102,2010-05-06,20002,Manufacturing,362580,15.3,0.237,101245.40114655216,600–649,<600,$100K+,25.0,Commitment,Internal Model
26,321,847,99578,2016-09-08,10001,Finance,211682,9.0,0.529,92516.76319311083,<600,750+,$80K–100K,,,
27,552,447,45498,2012-03-27,20002,Tech,384485,13.4,0.298,110214.35370362144,<600,<600,$40K–60K,27.0,Commitment,Internal Model
28,774,766,96865,2018-01-07,94105,Finance,233034,7.6,0.076,11473.430699849734,750+,750+,$80K–100K,28.0,Derivative,Internal Model
28,774,766,96865,2018-01-07,94105,Finance,233034,7.6,0.076,11473.430699849734,750+,750+,$80K–100K,28.0,Commitment,Standardized
29,358,543,51656,2015-01-04,60606,Finance,967371,10.6,0.492,480643.4443497246,<600,<600,$40K–60K,29.0,Trade Finance,Standardized
