Exposure_ID,Counterparty_ID,Product_Type,OBS_Category,Exposure_Amount,CCF_Category,Risk_Weight_Applied,Structuring_Strategy,Collateral_Type,Collateral_Value,Guarantee_Provider,Netting_Agreement,CCF_Source,Basel_Asset_Class,Internal_Rating,Currency,Jurisdiction,Maturity_Months,Reporting_Date,Regulatory_CCF_Applied,EAD,RWA
1,103,Securitization,Other OBS,962735,50%,0.5,Guarantee-Enhanced,Cash,564174,Sovereign Guarantee,No,Standardized,Sovereign,AAA,USD,Greece,5,2023-05-10,0.5,481367.5,240683.75
2,436,Securitization,Other OBS,1568087,100%,1.0,Collateralized,Securities,573987,None,No,Standardized,Sovereign,AA,EUR,Greece,69,2022-09-21,1.0,1568087.0,1568087.0
3,861,Guarantee,Other OBS,1759375,75%,0.5,Collateralized,Property,600684,None,No,Standardized,Bank,AAA,USD,Cyprus,64,2022-10-11,0.75,1319531.25,659765.625
4,271,Guarantee,Performance Guarantee,1927541,75%,0.2,Netting,Cash,614966,Sovereign Guarantee,No,Standardized,Bank,A,EUR,Greece,14,2021-10-08,0.75,1445655.75,289131.15
5,107,Commitment,Performance Guarantee,471486,50%,0.2,Guarantee-Enhanced,None,549567,None,No,Internal Model,Retail,BBB,USD,Greece,50,2023-06-11,0.5,235743.0,47148.600000000006
6,72,Guarantee,Performance Guarantee,653103,50%,0.75,Collateralized,Property,431322,Sovereign Guarantee,No,Standardized,Corporate,A,USD,UK,26,2023-03-10,0.5,326551.5,244913.625
7,701,Derivative,Performance Guarantee,89279,0%,0.5,Collateralized,None,110776,None,Yes,Internal Model,Bank,AA,GBP,Greece,72,2021-12-08,0.0,0.0,0.0
8,21,Securitization,Derivative Exposure,421931,75%,1.0,Guarantee-Enhanced,Cash,625732,Sovereign Guarantee,Yes,Standardized,Retail,AAA,EUR,UK,69,2024-03-01,0.75,316448.25,316448.25
9,615,Commitment,Derivative Exposure,198702,100%,1.0,Unstructured,Property,368444,Corporate Guarantee,No,Standardized,Corporate,AA,GBP,UK,7,2024-04-27,1.0,198702.0,198702.0
10,122,Guarantee,Derivative Exposure,1159639,75%,1.0,Unstructured,Property,113793,Sovereign Guarantee,Yes,Internal Model,Sovereign,A,USD,UK,16,2022-12-16,0.75,869729.25,869729.25
11,467,Derivative,Undrawn Commitment,823887,100%,0.75,Collateralized,Cash,378422,Sovereign Guarantee,Yes,Standardized,Sovereign,AA,EUR,Cyprus,55,2025-05-09,1.0,823887.0,617915.25
12,215,Derivative,Other OBS,1352887,75%,0.2,Collateralized,Securities,210809,None,No,Internal Model,Retail,B,USD,Cyprus,78,2024-03-07,0.75,1014665.25,202933.05000000002
13,331,Guarantee,Performance Guarantee,702184,20%,1.0,Unstructured,Property,171616,None,No,Standardized,Retail,BB,GBP,Germany,101,2023-03-11,0.2,140436.80000000002,140436.80000000002
